X,Y,DN,C_2019,Class,C_Class,Zone,C_Zone,Region,C_Region,Departemen,Commune,UH,Area,Point,Point_cont,x,y,Xd,Yd,icon_url
3.808478,14.016565,"5455","5",DRN,"8",Sahelienne,"1",Dosso,"1",Dogondoutchi,Matankari,"115",260596.435288000007858,"1","1","-61279","155573",3.808478000000000,14.016565000000000,./0.png
3.807946,14.014224,"4455","5",NRN,"17",Sahelienne,"1",Dosso,"1",Dogondoutchi,Matankari,"115",10308.516187200000786,"2","2","-61342","155547",3.807946000000000,14.014224000000000,./0.png
3.386226,11.885827,"2332","2",RND,"22",Soudanienne,"3",Dosso,"1",Gaya,Gaya,"132",9344.417276129999664,"1","3","-11226","132012",3.386226000000000,11.885827000000001,./0.png
3.391619,11.883724,"5443","3",DND,"4",Soudanienne,"3",Dosso,"1",Gaya,Gaya,"133",0.127669132050000,"1","4","-11168","131987",3.391619000000000,11.883724000000001,./0.png
2.896206,12.686448,"5444","4",DNN,"5",Soudanienne,"3",Dosso,"1",Falmey,Guilladje,"134",379619.869757000007667,"1","5","-16386","141024",2.896206000000000,12.686448000000000,./0.png
3.18531,12.780154,"5544","4",NDN,"11",Soudanienne,"3",Dosso,"1",Dosso,Farey,"134",281744.221725000010338,"2","6","-13208","141993",3.185310000000000,12.780154000000000,./0.png
2.892367,12.491801,"5555","5",NNN,"14",Soudanienne,"3",Dosso,"1",Falmey,Guilladje,"135",7140103.323280000127852,"1","7","-16479","138862",2.892367000000000,12.491801000000001,./0.png
2.934075,12.354911,"5555","5",NNN,"14",Soudanienne,"3",Dosso,"1",Falmey,Falmey,"135",6664837.986809999682009,"2","8","-16058","137330",2.934075000000000,12.354911000000000,./0.png
2.78902,12.745166,"5556","6",NNR,"15",Soudanienne,"3",Dosso,"1",Falmey,Falmey,"136",17343528.336500000208616,"1","9","-17541","141705",2.789020000000000,12.745165999999999,./0.png
3.657092,12.780035,"5556","6",NNR,"15",Soudanienne,"3",Dosso,"1",Dioundiou,Karakara,"136",8918042.663140000775456,"2","10","-80663","141881",3.657092000000000,12.780035000000000,./0.png
3.132586,12.610667,"7777","7",NNN,"14",Soudanienne,"3",Dosso,"1",Dosso,Golle,"137",154531393.326999992132187,"1","11","-13826","140123",3.132586000000000,12.610666999999999,./0.png
3.576558,12.003168,"7777","7",NNN,"14",Soudanienne,"3",Dosso,"1",Gaya,Bengou,"137",98836000.331599995493889,"2","12","-91196","133273",3.576558000000000,12.003168000000001,./0.png
4.215661,13.844287,"5422","2",DDN,"2",Soudano_Sahelienne,"4",Dosso,"1",Dogondoutchi,Dan-Kassari,"142",70048.333931200002553,"1","13","-17547","153568",4.215661000000000,13.844287000000000,./0.png
4.531764,13.779136,"4322","2",DDN,"2",Soudano_Sahelienne,"4",Dosso,"1",Dogondoutchi,Dan-Kassari,"142",70008.343019799998729,"2","14","16577","152779",4.531764000000000,13.779135999999999,./0.png
4.039675,13.832231,"3333","3",NNN,"14",Soudano_Sahelienne,"4",Dosso,"1",Dogondoutchi,Matankari,"143",1099219.265480000060052,"1","15","-36654","153473",4.039675000000000,13.832231000000000,./0.png
4.034252,13.844964,"3333","3",NNN,"14",Soudano_Sahelienne,"4",Dosso,"1",Dogondoutchi,Matankari,"143",747972.361296999966726,"2","16","-37212","153616",4.034252000000001,13.844963999999999,./0.png
4.478995,13.854777,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Dosso,"1",Dogondoutchi,Dan-Kassari,"144",15432565.759299999102950,"1","17","11016","153629",4.478995000000001,13.854777000000000,./0.png
3.201541,13.055236,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Dosso,"1",Dosso,Dosso,"144",8311987.293220000341535,"2","18","-12962","145045",3.201541000000000,13.055236000000001,./0.png
2.937551,13.520984,"5555","5",NNN,"14",Soudano_Sahelienne,"4",Dosso,"1",Boboye,Koygolo,"145",136283464.152000010013580,"1","19","-15712","150290",2.937551000000000,13.520984000000000,./0.png
2.782482,13.249793,"5555","5",NNN,"14",Soudano_Sahelienne,"4",Dosso,"1",Boboye,N'Gonga,"145",78022457.242300003767014,"2","20","-17474","147317",2.782482000000000,13.249793000000000,./0.png
3.689232,13.34077,"5556","6",NNR,"15",Soudano_Sahelienne,"4",Dosso,"1",Dosso,Tombokoirey II,"146",448048073.228999972343445,"1","21","-75853","148099",3.689232000000000,13.340769999999999,./0.png
3.935177,13.205417,"5556","6",NNR,"15",Soudano_Sahelienne,"4",Dosso,"1",Tibiri,Kore Mairoua,"146",63519693.780400007963181,"2","22","-49427","146541",3.935177000000000,13.205417000000001,./0.png
3.892402,13.406096,"5557","7",NNR,"15",Soudano_Sahelienne,"4",Dosso,"1",Tibiri,Kore Mairoua,"147",24513134.254299998283386,"1","23","-53620","148777",3.892402000000000,13.406096000000000,./0.png
3.903049,12.921019,"5567","7",NRR,"18",Soudano_Sahelienne,"4",Dosso,"1",Tibiri,Guecheme,"147",21008333.483100000768900,"2","24","-53556","143391",3.903049000000000,12.921018999999999,./0.png
8.472193,13.933568,"4332","2",DND,"4",Sahelienne,"1",Maradi,"2",Tessaoua,Ourafane,"212",69565.520848200001637,"1","25","442985","154044",8.472193000000003,13.933567999999999,./0.png
8.233524,14.189561,"4343","3",DRD,"7",Sahelienne,"1",Maradi,"2",Tessaoua,Ourafane,"213",7455676.697730000130832,"1","26","417294","156882",8.233523999999999,14.189560999999999,./0.png
8.263411,14.167869,"4343","3",DRD,"7",Sahelienne,"1",Maradi,"2",Tessaoua,Ourafane,"213",7417450.678919999860227,"2","27","420511","156641",8.263411000000000,14.167869000000000,./0.png
